GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,TBS9894,G1,0,0
Salazar,Tom,JGY6503,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,FNG8722,G2,3,1
Owen,Sharon,GDL3057,G2,3,1
Kent,Amanda,FPG1532,G2,3,1
Ruiz,Robert,AGC0090,G2,3,1
Cook,John,EAU6419,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,PAQ9673,G3,6,2
Herring,Bethany,CHU0895,G3,6,2
Rodriguez,Andrea,PKP7331,G3,6,2
Gordon,Benjamin,QAZ4464,G3,6,2
Kennedy,Craig,JOG2547,G3,6,2
Howard,Stacey,NQY5082,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,XFP1952,G4,9,3
Mccoy,Megan,DQY7285,G4,9,3
Williams,Juan,DTQ3712,G4,9,3
Odonnell,William,YTA3992,G4,9,3
Montgomery,John,AWS3398,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,QXP0288,G5,12,4
Woods,Brandy,SVE1613,G5,12,4
Baldwin,Paul,ZOO5973,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,BXD0958,G6,15,5
Williams,Audrey,JJY4812,G6,15,5
Bruce,Matthew,FBT7677,G6,15,5
Johnston,Peter,KVB2120,G6,15,5
Villanueva,Sandra,FBC2869,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,QZQ2446,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,SMP8918,G8,21,7
Johnson,Ronald,XVF1190,G8,21,7
Sanchez,Jessica,RUO0426,G8,21,7
Todd,Nancy,VIM5154,G8,21,7
Pratt,Seth,AUE2166,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,UYJ3300,G9,24,8
Allen,Stephanie,WJR2996,G9,24,8
Johnston,Kelly,VCX8478,G9,24,8
Woodward,Jackson,ITF4288,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,JYU6287,G10,27,9
Lee,Ashley,SEL7687,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
