Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,RBE0635,0,0
Salazar,Tom,AZM6789,0,0
Nolan,Gabriella,MDQ6993,1,3
Owen,Sharon,FPO5383,1,3
Kent,Amanda,BWW4376,1,3
Ruiz,Robert,DIV9785,1,3
Cook,John,ZSW2850,1,3
Cortez,Raymond,ZCH4531,2,6
Herring,Bethany,PLL2357,2,6
Rodriguez,Andrea,UFC2851,2,6
Gordon,Benjamin,APQ1661,2,6
Kennedy,Craig,XEC5680,2,6
Howard,Stacey,ZRI2417,2,6
Fernandez,Peter,WEW1004,3,9
Mccoy,Megan,LBK3510,3,9
Williams,Juan,XUY3257,3,9
Odonnell,William,SKV3646,3,9
Montgomery,John,MZR2448,3,9
Collins,Michael,OZO1427,4,12
Woods,Brandy,PJF4644,4,12
Baldwin,Paul,TUU2402,4,12
Richard,Katherine,JJO4008,5,15
Williams,Audrey,CDR0907,5,15
Bruce,Matthew,RHO3967,5,15
Johnston,Peter,BKV1055,5,15
Villanueva,Sandra,PIF4008,5,15
Bates,Brandon,NXI6007,6,18
Thornton,Joshua,DJA4004,7,21
Johnson,Ronald,ZBM0485,7,21
Sanchez,Jessica,RZT2738,7,21
Todd,Nancy,RDZ9629,7,21
Pratt,Seth,PUU7193,7,21
Smith,James,URT2784,8,24
Allen,Stephanie,OCT0995,8,24
Johnston,Kelly,VLY6382,8,24
Woodward,Jackson,OFD5391,8,24
Bell,Henry,MSH4835,9,27
Lee,Ashley,EFV3651,9,27
