Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,KRQ4714,0,0
Salazar,Tom,BBQ0580,0,0
Nolan,Gabriella,MZX2314,1,3
Owen,Sharon,EVV8244,1,3
Kent,Amanda,ILB8165,1,3
Ruiz,Robert,KBB4448,1,3
Cook,John,IFD8409,1,3
Cortez,Raymond,ZFV8240,2,6
Herring,Bethany,TXP6762,2,6
Rodriguez,Andrea,UYP6879,2,6
Gordon,Benjamin,HVI0451,2,6
Kennedy,Craig,OZH8668,2,6
Howard,Stacey,YNE9183,2,6
Fernandez,Peter,LSC0931,3,9
Mccoy,Megan,NWC2947,3,9
Williams,Juan,KOO8254,3,9
Odonnell,William,ZDV6946,3,9
Montgomery,John,BIW3805,3,9
Collins,Michael,FQD7280,4,12
Woods,Brandy,CNT9064,4,12
Baldwin,Paul,JZE5942,4,12
Richard,Katherine,RUA1678,5,15
Williams,Audrey,HDT7793,5,15
Bruce,Matthew,CKC0036,5,15
Johnston,Peter,YBD7293,5,15
Villanueva,Sandra,DML4046,5,15
Bates,Brandon,QUV3344,6,18
Thornton,Joshua,CRP0071,7,21
Johnson,Ronald,ZLC2289,7,21
Sanchez,Jessica,QXC9055,7,21
Todd,Nancy,NLG0000,7,21
Pratt,Seth,UEP1322,7,21
Smith,James,ZRD7859,8,24
Allen,Stephanie,NPU7230,8,24
Johnston,Kelly,KOF0621,8,24
Woodward,Jackson,AHC6923,8,24
Bell,Henry,XYG5378,9,27
Lee,Ashley,VPC5748,9,27
