GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,KRQ4714,G1,0,0
Salazar,Tom,BBQ0580,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,MZX2314,G2,3,1
Owen,Sharon,EVV8244,G2,3,1
Kent,Amanda,ILB8165,G2,3,1
Ruiz,Robert,KBB4448,G2,3,1
Cook,John,IFD8409,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,ZFV8240,G3,6,2
Herring,Bethany,TXP6762,G3,6,2
Rodriguez,Andrea,UYP6879,G3,6,2
Gordon,Benjamin,HVI0451,G3,6,2
Kennedy,Craig,OZH8668,G3,6,2
Howard,Stacey,YNE9183,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,LSC0931,G4,9,3
Mccoy,Megan,NWC2947,G4,9,3
Williams,Juan,KOO8254,G4,9,3
Odonnell,William,ZDV6946,G4,9,3
Montgomery,John,BIW3805,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,FQD7280,G5,12,4
Woods,Brandy,CNT9064,G5,12,4
Baldwin,Paul,JZE5942,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,RUA1678,G6,15,5
Williams,Audrey,HDT7793,G6,15,5
Bruce,Matthew,CKC0036,G6,15,5
Johnston,Peter,YBD7293,G6,15,5
Villanueva,Sandra,DML4046,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,QUV3344,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,CRP0071,G8,21,7
Johnson,Ronald,ZLC2289,G8,21,7
Sanchez,Jessica,QXC9055,G8,21,7
Todd,Nancy,NLG0000,G8,21,7
Pratt,Seth,UEP1322,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,ZRD7859,G9,24,8
Allen,Stephanie,NPU7230,G9,24,8
Johnston,Kelly,KOF0621,G9,24,8
Woodward,Jackson,AHC6923,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,XYG5378,G10,27,9
Lee,Ashley,VPC5748,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
