Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,EET0821,0,0
Salazar,Tom,ZPK0143,0,0
Nolan,Gabriella,LKF6742,1,3
Owen,Sharon,DBP8620,1,3
Kent,Amanda,OVU2492,1,3
Ruiz,Robert,ERR6575,1,3
Cook,John,CWQ9237,1,3
Cortez,Raymond,ZMD9177,2,6
Herring,Bethany,VKE7587,2,6
Rodriguez,Andrea,EUD5007,2,6
Gordon,Benjamin,OLK8294,2,6
Kennedy,Craig,EZX0537,2,6
Howard,Stacey,DLK4443,2,6
Fernandez,Peter,GWV8113,3,9
Mccoy,Megan,IOW6149,3,9
Williams,Juan,JEB3604,3,9
Odonnell,William,XLA2910,3,9
Montgomery,John,ASE5992,3,9
Collins,Michael,FRB3344,4,12
Woods,Brandy,WVI6867,4,12
Baldwin,Paul,YGA1372,4,12
Richard,Katherine,GUD7722,5,15
Williams,Audrey,CNI0324,5,15
Bruce,Matthew,RIM4657,5,15
Johnston,Peter,NVR9987,5,15
Villanueva,Sandra,IGN8039,5,15
Bates,Brandon,KYM2914,6,18
Thornton,Joshua,IPE4842,7,21
Johnson,Ronald,NJH6034,7,21
Sanchez,Jessica,RQS2925,7,21
Todd,Nancy,SQF4535,7,21
Pratt,Seth,SBS1231,7,21
Smith,James,WQJ6599,8,24
Allen,Stephanie,FMX4666,8,24
Johnston,Kelly,JAY1340,8,24
Woodward,Jackson,PZW3711,8,24
Bell,Henry,VVH7737,9,27
Lee,Ashley,MVT0531,9,27
