Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,AHR8808,0,0
Salazar,Tom,PXJ7390,0,0
Nolan,Gabriella,OCT2364,1,3
Owen,Sharon,UUF0408,1,3
Kent,Amanda,DJQ5743,1,3
Ruiz,Robert,WQY1485,1,3
Cook,John,YAZ9181,1,3
Cortez,Raymond,BTN4795,2,6
Herring,Bethany,EST9212,2,6
Rodriguez,Andrea,MUB3888,2,6
Gordon,Benjamin,RGO9218,2,6
Kennedy,Craig,XUQ2316,2,6
Howard,Stacey,IEJ1514,2,6
Fernandez,Peter,KFC7123,3,9
Mccoy,Megan,IBJ3651,3,9
Williams,Juan,TYF0145,3,9
Odonnell,William,ZCC2786,3,9
Montgomery,John,FDH5347,3,9
Collins,Michael,CLG0149,4,12
Woods,Brandy,BXF9561,4,12
Baldwin,Paul,QYM8312,4,12
Richard,Katherine,NEV1421,5,15
Williams,Audrey,RIU6988,5,15
Bruce,Matthew,IJD0294,5,15
Johnston,Peter,DFL4210,5,15
Villanueva,Sandra,MHC2762,5,15
Bates,Brandon,XYJ1457,6,18
Thornton,Joshua,OZP5896,7,21
Johnson,Ronald,RMP1507,7,21
Sanchez,Jessica,XMD7782,7,21
Todd,Nancy,QOB3199,7,21
Pratt,Seth,XIO8980,7,21
Smith,James,SDT5944,8,24
Allen,Stephanie,DLF1869,8,24
Johnston,Kelly,TVS4103,8,24
Woodward,Jackson,AQB7078,8,24
Bell,Henry,YJG6109,9,27
Lee,Ashley,LBG2249,9,27
