Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,HWS2873,0,0
Salazar,Tom,SBF6354,0,0
Nolan,Gabriella,TIR0217,1,3
Owen,Sharon,DUQ5380,1,3
Kent,Amanda,TAR5404,1,3
Ruiz,Robert,DAT6066,1,3
Cook,John,TDD4496,1,3
Cortez,Raymond,USY8512,2,6
Herring,Bethany,ANE7645,2,6
Rodriguez,Andrea,MCM7027,2,6
Gordon,Benjamin,PXG8128,2,6
Kennedy,Craig,KLS8716,2,6
Howard,Stacey,IMA2864,2,6
Fernandez,Peter,TFR7895,3,9
Mccoy,Megan,HTZ0906,3,9
Williams,Juan,EUP2839,3,9
Odonnell,William,LZH7691,3,9
Montgomery,John,DOP4634,3,9
Collins,Michael,YGF7062,4,12
Woods,Brandy,QHI8005,4,12
Baldwin,Paul,HXL3393,4,12
Richard,Katherine,VPA5787,5,15
Williams,Audrey,SCY3258,5,15
Bruce,Matthew,OBQ4872,5,15
Johnston,Peter,LQJ9604,5,15
Villanueva,Sandra,CTG7213,5,15
Bates,Brandon,HAN9098,6,18
Thornton,Joshua,TRY9735,7,21
Johnson,Ronald,VLY5132,7,21
Sanchez,Jessica,CUC3057,7,21
Todd,Nancy,PXQ6385,7,21
Pratt,Seth,CFT3952,7,21
Smith,James,OQH1174,8,24
Allen,Stephanie,AYH5473,8,24
Johnston,Kelly,OLA7727,8,24
Woodward,Jackson,DWJ2771,8,24
Bell,Henry,NBI5955,9,27
Lee,Ashley,UMO2544,9,27
