GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,HWS2873,G1,0,0
Salazar,Tom,SBF6354,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,TIR0217,G2,3,1
Owen,Sharon,DUQ5380,G2,3,1
Kent,Amanda,TAR5404,G2,3,1
Ruiz,Robert,DAT6066,G2,3,1
Cook,John,TDD4496,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,USY8512,G3,6,2
Herring,Bethany,ANE7645,G3,6,2
Rodriguez,Andrea,MCM7027,G3,6,2
Gordon,Benjamin,PXG8128,G3,6,2
Kennedy,Craig,KLS8716,G3,6,2
Howard,Stacey,IMA2864,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,TFR7895,G4,9,3
Mccoy,Megan,HTZ0906,G4,9,3
Williams,Juan,EUP2839,G4,9,3
Odonnell,William,LZH7691,G4,9,3
Montgomery,John,DOP4634,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,YGF7062,G5,12,4
Woods,Brandy,QHI8005,G5,12,4
Baldwin,Paul,HXL3393,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,VPA5787,G6,15,5
Williams,Audrey,SCY3258,G6,15,5
Bruce,Matthew,OBQ4872,G6,15,5
Johnston,Peter,LQJ9604,G6,15,5
Villanueva,Sandra,CTG7213,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,HAN9098,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,TRY9735,G8,21,7
Johnson,Ronald,VLY5132,G8,21,7
Sanchez,Jessica,CUC3057,G8,21,7
Todd,Nancy,PXQ6385,G8,21,7
Pratt,Seth,CFT3952,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,OQH1174,G9,24,8
Allen,Stephanie,AYH5473,G9,24,8
Johnston,Kelly,OLA7727,G9,24,8
Woodward,Jackson,DWJ2771,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,NBI5955,G10,27,9
Lee,Ashley,UMO2544,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
