Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,BUE4226,0,0
Salazar,Tom,IHM7510,0,0
Nolan,Gabriella,ZQN3814,1,3
Owen,Sharon,EEO0003,1,3
Kent,Amanda,VBR9314,1,3
Ruiz,Robert,PGX3265,1,3
Cook,John,XJU2765,1,3
Cortez,Raymond,JWE4068,2,6
Herring,Bethany,CFJ3944,2,6
Rodriguez,Andrea,ZVJ5085,2,6
Gordon,Benjamin,FQQ4684,2,6
Kennedy,Craig,OCZ9269,2,6
Howard,Stacey,CIM1592,2,6
Fernandez,Peter,WKK9321,3,9
Mccoy,Megan,FIV7948,3,9
Williams,Juan,FUJ0516,3,9
Odonnell,William,TTU5107,3,9
Montgomery,John,MPX8912,3,9
Collins,Michael,XOR1737,4,12
Woods,Brandy,BQX6185,4,12
Baldwin,Paul,NZQ1068,4,12
Richard,Katherine,YHS1100,5,15
Williams,Audrey,VID6912,5,15
Bruce,Matthew,BVZ5524,5,15
Johnston,Peter,IXR3440,5,15
Villanueva,Sandra,VHB2294,5,15
Bates,Brandon,MMP3411,6,18
Thornton,Joshua,CQT9776,7,21
Johnson,Ronald,ZIR0109,7,21
Sanchez,Jessica,NFS6625,7,21
Todd,Nancy,RPQ0074,7,21
Pratt,Seth,MXN8640,7,21
Smith,James,PTW8108,8,24
Allen,Stephanie,ALZ7029,8,24
Johnston,Kelly,PZY4534,8,24
Woodward,Jackson,WWZ6723,8,24
Bell,Henry,OWZ4811,9,27
Lee,Ashley,ADW1527,9,27
