GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,DXK1829,G1,0,0
Salazar,Tom,WUR3516,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,HZI8190,G2,3,1
Owen,Sharon,ZIF9360,G2,3,1
Kent,Amanda,BRK2365,G2,3,1
Ruiz,Robert,SXD5163,G2,3,1
Cook,John,MKD9805,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,YHM2433,G3,6,2
Herring,Bethany,EJV2679,G3,6,2
Rodriguez,Andrea,PFS9971,G3,6,2
Gordon,Benjamin,SUR5904,G3,6,2
Kennedy,Craig,JZB9903,G3,6,2
Howard,Stacey,WMD6493,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,JRR3057,G4,9,3
Mccoy,Megan,FEI2419,G4,9,3
Williams,Juan,LDY5215,G4,9,3
Odonnell,William,VWP4608,G4,9,3
Montgomery,John,OUP2157,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,ZTY2522,G5,12,4
Woods,Brandy,THJ4835,G5,12,4
Baldwin,Paul,PSL3828,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,BYW6765,G6,15,5
Williams,Audrey,UYR7813,G6,15,5
Bruce,Matthew,RHB5102,G6,15,5
Johnston,Peter,TEZ9744,G6,15,5
Villanueva,Sandra,XNP2018,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,WKL4364,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,NRM6422,G8,21,7
Johnson,Ronald,FTE6642,G8,21,7
Sanchez,Jessica,UIU1044,G8,21,7
Todd,Nancy,TJV1747,G8,21,7
Pratt,Seth,TFU0892,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,DGR7887,G9,24,8
Allen,Stephanie,CCE3130,G9,24,8
Johnston,Kelly,UKU8431,G9,24,8
Woodward,Jackson,QYY8675,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,EVZ5781,G10,27,9
Lee,Ashley,ILR4625,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
