Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,ULH0798,0,0
Salazar,Tom,IXA5206,0,0
Nolan,Gabriella,MUP9559,1,3
Owen,Sharon,UEW7388,1,3
Kent,Amanda,USS6133,1,3
Ruiz,Robert,GTS6263,1,3
Cook,John,TCD3983,1,3
Cortez,Raymond,TQJ5946,2,6
Herring,Bethany,OMB2909,2,6
Rodriguez,Andrea,HTL6947,2,6
Gordon,Benjamin,GRR7861,2,6
Kennedy,Craig,DDO0229,2,6
Howard,Stacey,JCY9791,2,6
Fernandez,Peter,TQE4989,3,9
Mccoy,Megan,XHF2475,3,9
Williams,Juan,IXH2296,3,9
Odonnell,William,XAQ8420,3,9
Montgomery,John,YVD6273,3,9
Collins,Michael,FOZ3644,4,12
Woods,Brandy,AJJ3345,4,12
Baldwin,Paul,AFB4416,4,12
Richard,Katherine,VBD9415,5,15
Williams,Audrey,TXY1556,5,15
Bruce,Matthew,OMG7486,5,15
Johnston,Peter,MUW8210,5,15
Villanueva,Sandra,JPE4935,5,15
Bates,Brandon,HFP6044,6,18
Thornton,Joshua,GLZ8932,7,21
Johnson,Ronald,EBO6598,7,21
Sanchez,Jessica,PBA8229,7,21
Todd,Nancy,CDB6029,7,21
Pratt,Seth,WCU1185,7,21
Smith,James,UXO4454,8,24
Allen,Stephanie,HSQ2758,8,24
Johnston,Kelly,JTT3041,8,24
Woodward,Jackson,FES8368,8,24
Bell,Henry,CST9107,9,27
Lee,Ashley,MAO3408,9,27
