GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,ULH0798,G1,0,0
Salazar,Tom,IXA5206,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,MUP9559,G2,3,1
Owen,Sharon,UEW7388,G2,3,1
Kent,Amanda,USS6133,G2,3,1
Ruiz,Robert,GTS6263,G2,3,1
Cook,John,TCD3983,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,TQJ5946,G3,6,2
Herring,Bethany,OMB2909,G3,6,2
Rodriguez,Andrea,HTL6947,G3,6,2
Gordon,Benjamin,GRR7861,G3,6,2
Kennedy,Craig,DDO0229,G3,6,2
Howard,Stacey,JCY9791,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,TQE4989,G4,9,3
Mccoy,Megan,XHF2475,G4,9,3
Williams,Juan,IXH2296,G4,9,3
Odonnell,William,XAQ8420,G4,9,3
Montgomery,John,YVD6273,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,FOZ3644,G5,12,4
Woods,Brandy,AJJ3345,G5,12,4
Baldwin,Paul,AFB4416,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,VBD9415,G6,15,5
Williams,Audrey,TXY1556,G6,15,5
Bruce,Matthew,OMG7486,G6,15,5
Johnston,Peter,MUW8210,G6,15,5
Villanueva,Sandra,JPE4935,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,HFP6044,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,GLZ8932,G8,21,7
Johnson,Ronald,EBO6598,G8,21,7
Sanchez,Jessica,PBA8229,G8,21,7
Todd,Nancy,CDB6029,G8,21,7
Pratt,Seth,WCU1185,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,UXO4454,G9,24,8
Allen,Stephanie,HSQ2758,G9,24,8
Johnston,Kelly,JTT3041,G9,24,8
Woodward,Jackson,FES8368,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,CST9107,G10,27,9
Lee,Ashley,MAO3408,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
