Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,TBS9894,0,0
Salazar,Tom,JGY6503,0,0
Nolan,Gabriella,FNG8722,1,3
Owen,Sharon,GDL3057,1,3
Kent,Amanda,FPG1532,1,3
Ruiz,Robert,AGC0090,1,3
Cook,John,EAU6419,1,3
Cortez,Raymond,PAQ9673,2,6
Herring,Bethany,CHU0895,2,6
Rodriguez,Andrea,PKP7331,2,6
Gordon,Benjamin,QAZ4464,2,6
Kennedy,Craig,JOG2547,2,6
Howard,Stacey,NQY5082,2,6
Fernandez,Peter,XFP1952,3,9
Mccoy,Megan,DQY7285,3,9
Williams,Juan,DTQ3712,3,9
Odonnell,William,YTA3992,3,9
Montgomery,John,AWS3398,3,9
Collins,Michael,QXP0288,4,12
Woods,Brandy,SVE1613,4,12
Baldwin,Paul,ZOO5973,4,12
Richard,Katherine,BXD0958,5,15
Williams,Audrey,JJY4812,5,15
Bruce,Matthew,FBT7677,5,15
Johnston,Peter,KVB2120,5,15
Villanueva,Sandra,FBC2869,5,15
Bates,Brandon,QZQ2446,6,18
Thornton,Joshua,SMP8918,7,21
Johnson,Ronald,XVF1190,7,21
Sanchez,Jessica,RUO0426,7,21
Todd,Nancy,VIM5154,7,21
Pratt,Seth,AUE2166,7,21
Smith,James,UYJ3300,8,24
Allen,Stephanie,WJR2996,8,24
Johnston,Kelly,VCX8478,8,24
Woodward,Jackson,ITF4288,8,24
Bell,Henry,JYU6287,9,27
Lee,Ashley,SEL7687,9,27
