Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,MTB5081,0,0
Salazar,Tom,TYM0310,0,0
Nolan,Gabriella,WQN6125,1,3
Owen,Sharon,DML9510,1,3
Kent,Amanda,JIX8887,1,3
Ruiz,Robert,ELI9483,1,3
Cook,John,MFA1246,1,3
Cortez,Raymond,OTM9501,2,6
Herring,Bethany,GUA3599,2,6
Rodriguez,Andrea,XLR9990,2,6
Gordon,Benjamin,EFL1574,2,6
Kennedy,Craig,HAC9868,2,6
Howard,Stacey,OWM7503,2,6
Fernandez,Peter,TJY9940,3,9
Mccoy,Megan,IRE9345,3,9
Williams,Juan,JTB3351,3,9
Odonnell,William,NIY0741,3,9
Montgomery,John,FNE5640,3,9
Collins,Michael,ONW9844,4,12
Woods,Brandy,MXT1536,4,12
Baldwin,Paul,VRS6445,4,12
Richard,Katherine,NYJ1220,5,15
Williams,Audrey,SNG2394,5,15
Bruce,Matthew,FRA2612,5,15
Johnston,Peter,BPI7752,5,15
Villanueva,Sandra,EAY0659,5,15
Bates,Brandon,XWO1094,6,18
Thornton,Joshua,JUK7141,7,21
Johnson,Ronald,WYE2070,7,21
Sanchez,Jessica,HCX8270,7,21
Todd,Nancy,TYC7359,7,21
Pratt,Seth,FOR4056,7,21
Smith,James,BVO2283,8,24
Allen,Stephanie,QNF3229,8,24
Johnston,Kelly,PGE7587,8,24
Woodward,Jackson,UDP2923,8,24
Bell,Henry,WPK9194,9,27
Lee,Ashley,STF2888,9,27
