GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,MTB5081,G1,0,0
Salazar,Tom,TYM0310,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,WQN6125,G2,3,1
Owen,Sharon,DML9510,G2,3,1
Kent,Amanda,JIX8887,G2,3,1
Ruiz,Robert,ELI9483,G2,3,1
Cook,John,MFA1246,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,OTM9501,G3,6,2
Herring,Bethany,GUA3599,G3,6,2
Rodriguez,Andrea,XLR9990,G3,6,2
Gordon,Benjamin,EFL1574,G3,6,2
Kennedy,Craig,HAC9868,G3,6,2
Howard,Stacey,OWM7503,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,TJY9940,G4,9,3
Mccoy,Megan,IRE9345,G4,9,3
Williams,Juan,JTB3351,G4,9,3
Odonnell,William,NIY0741,G4,9,3
Montgomery,John,FNE5640,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,ONW9844,G5,12,4
Woods,Brandy,MXT1536,G5,12,4
Baldwin,Paul,VRS6445,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,NYJ1220,G6,15,5
Williams,Audrey,SNG2394,G6,15,5
Bruce,Matthew,FRA2612,G6,15,5
Johnston,Peter,BPI7752,G6,15,5
Villanueva,Sandra,EAY0659,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,XWO1094,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,JUK7141,G8,21,7
Johnson,Ronald,WYE2070,G8,21,7
Sanchez,Jessica,HCX8270,G8,21,7
Todd,Nancy,TYC7359,G8,21,7
Pratt,Seth,FOR4056,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,BVO2283,G9,24,8
Allen,Stephanie,QNF3229,G9,24,8
Johnston,Kelly,PGE7587,G9,24,8
Woodward,Jackson,UDP2923,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,WPK9194,G10,27,9
Lee,Ashley,STF2888,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
