GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,UGA3393,G1,0,0
Salazar,Tom,AIV2494,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,JOW2912,G2,3,1
Owen,Sharon,IXM1091,G2,3,1
Kent,Amanda,ZJJ5595,G2,3,1
Ruiz,Robert,WHM2475,G2,3,1
Cook,John,BEB0812,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,SVV0767,G3,6,2
Herring,Bethany,SME5620,G3,6,2
Rodriguez,Andrea,SXE0263,G3,6,2
Gordon,Benjamin,EHN7775,G3,6,2
Kennedy,Craig,AAD0772,G3,6,2
Howard,Stacey,AHI7458,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,VCS2271,G4,9,3
Mccoy,Megan,KGQ5924,G4,9,3
Williams,Juan,PFK7496,G4,9,3
Odonnell,William,HIL5536,G4,9,3
Montgomery,John,MMB5637,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,NCC7072,G5,12,4
Woods,Brandy,KMG3854,G5,12,4
Baldwin,Paul,OOY3711,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,QIK5041,G6,15,5
Williams,Audrey,SSD6087,G6,15,5
Bruce,Matthew,CAD7079,G6,15,5
Johnston,Peter,PNG6796,G6,15,5
Villanueva,Sandra,BTR5140,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,CFS6143,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,PHB3344,G8,21,7
Johnson,Ronald,OUK9210,G8,21,7
Sanchez,Jessica,NOJ4929,G8,21,7
Todd,Nancy,MLR5567,G8,21,7
Pratt,Seth,RZU7772,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,YGF0016,G9,24,8
Allen,Stephanie,PAI5304,G9,24,8
Johnston,Kelly,ALC9292,G9,24,8
Woodward,Jackson,PGV6086,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,GOI5629,G10,27,9
Lee,Ashley,GAV1775,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
