Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,DME9778,0,0
Salazar,Tom,MFU2680,0,0
Nolan,Gabriella,OCO7445,1,3
Owen,Sharon,UGF1819,1,3
Kent,Amanda,XOP5624,1,3
Ruiz,Robert,RLU5300,1,3
Cook,John,GCI3117,1,3
Cortez,Raymond,JUT9658,2,6
Herring,Bethany,RPN7835,2,6
Rodriguez,Andrea,KJU2862,2,6
Gordon,Benjamin,NNY3316,2,6
Kennedy,Craig,GUR5681,2,6
Howard,Stacey,ZCQ3297,2,6
Fernandez,Peter,RJI8157,3,9
Mccoy,Megan,ZOE8170,3,9
Williams,Juan,EXR8117,3,9
Odonnell,William,AHS7508,3,9
Montgomery,John,YFL2834,3,9
Collins,Michael,GBC5952,4,12
Woods,Brandy,RIM9155,4,12
Baldwin,Paul,HDH6153,4,12
Richard,Katherine,ESN3834,5,15
Williams,Audrey,GWD0802,5,15
Bruce,Matthew,ZTB6612,5,15
Johnston,Peter,BCK6019,5,15
Villanueva,Sandra,LCU4338,5,15
Bates,Brandon,PLF6724,6,18
Thornton,Joshua,CKF2872,7,21
Johnson,Ronald,CYP8743,7,21
Sanchez,Jessica,NNT2116,7,21
Todd,Nancy,SQN5664,7,21
Pratt,Seth,BIU7284,7,21
Smith,James,EWP5657,8,24
Allen,Stephanie,AHA3962,8,24
Johnston,Kelly,AHQ1521,8,24
Woodward,Jackson,YIS5599,8,24
Bell,Henry,CPD6999,9,27
Lee,Ashley,UGX9212,9,27
