GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,DME9778,G1,0,0
Salazar,Tom,MFU2680,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,OCO7445,G2,3,1
Owen,Sharon,UGF1819,G2,3,1
Kent,Amanda,XOP5624,G2,3,1
Ruiz,Robert,RLU5300,G2,3,1
Cook,John,GCI3117,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,JUT9658,G3,6,2
Herring,Bethany,RPN7835,G3,6,2
Rodriguez,Andrea,KJU2862,G3,6,2
Gordon,Benjamin,NNY3316,G3,6,2
Kennedy,Craig,GUR5681,G3,6,2
Howard,Stacey,ZCQ3297,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,RJI8157,G4,9,3
Mccoy,Megan,ZOE8170,G4,9,3
Williams,Juan,EXR8117,G4,9,3
Odonnell,William,AHS7508,G4,9,3
Montgomery,John,YFL2834,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,GBC5952,G5,12,4
Woods,Brandy,RIM9155,G5,12,4
Baldwin,Paul,HDH6153,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,ESN3834,G6,15,5
Williams,Audrey,GWD0802,G6,15,5
Bruce,Matthew,ZTB6612,G6,15,5
Johnston,Peter,BCK6019,G6,15,5
Villanueva,Sandra,LCU4338,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,PLF6724,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,CKF2872,G8,21,7
Johnson,Ronald,CYP8743,G8,21,7
Sanchez,Jessica,NNT2116,G8,21,7
Todd,Nancy,SQN5664,G8,21,7
Pratt,Seth,BIU7284,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,EWP5657,G9,24,8
Allen,Stephanie,AHA3962,G9,24,8
Johnston,Kelly,AHQ1521,G9,24,8
Woodward,Jackson,YIS5599,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,CPD6999,G10,27,9
Lee,Ashley,UGX9212,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
