Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,LKI6650,0,0
Salazar,Tom,UUT2392,0,0
Nolan,Gabriella,QNX5540,1,3
Owen,Sharon,TAH2832,1,3
Kent,Amanda,CVM4299,1,3
Ruiz,Robert,THK4272,1,3
Cook,John,WDO5482,1,3
Cortez,Raymond,TDO9712,2,6
Herring,Bethany,FGC0479,2,6
Rodriguez,Andrea,PVZ0793,2,6
Gordon,Benjamin,QZC9550,2,6
Kennedy,Craig,JRH3063,2,6
Howard,Stacey,KBF6838,2,6
Fernandez,Peter,PGB7663,3,9
Mccoy,Megan,SHV6083,3,9
Williams,Juan,QRY9529,3,9
Odonnell,William,LWH5573,3,9
Montgomery,John,RXK7106,3,9
Collins,Michael,DWX6335,4,12
Woods,Brandy,HBV4329,4,12
Baldwin,Paul,WJX5280,4,12
Richard,Katherine,GWR5450,5,15
Williams,Audrey,WXA1359,5,15
Bruce,Matthew,FNI6794,5,15
Johnston,Peter,LAJ4941,5,15
Villanueva,Sandra,BSG0963,5,15
Bates,Brandon,TTI4631,6,18
Thornton,Joshua,DUF9691,7,21
Johnson,Ronald,QUI0215,7,21
Sanchez,Jessica,MVP0865,7,21
Todd,Nancy,FIX3359,7,21
Pratt,Seth,OJU4807,7,21
Smith,James,MTU6248,8,24
Allen,Stephanie,BTB3182,8,24
Johnston,Kelly,GRW7654,8,24
Woodward,Jackson,VGQ3740,8,24
Bell,Henry,DGF0861,9,27
Lee,Ashley,UCL3372,9,27
