Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,PZB3333,0,0
Salazar,Tom,CTC4800,0,0
Nolan,Gabriella,IUK5063,1,3
Owen,Sharon,DFA3160,1,3
Kent,Amanda,RHC4258,1,3
Ruiz,Robert,MKB5046,1,3
Cook,John,QXH5159,1,3
Cortez,Raymond,YAW2105,2,6
Herring,Bethany,YOE9580,2,6
Rodriguez,Andrea,FAS6512,2,6
Gordon,Benjamin,LBB8497,2,6
Kennedy,Craig,GCT6347,2,6
Howard,Stacey,NUH5598,2,6
Fernandez,Peter,SYG9659,3,9
Mccoy,Megan,AKT0995,3,9
Williams,Juan,PVP1870,3,9
Odonnell,William,OGB9853,3,9
Montgomery,John,HNB3618,3,9
Collins,Michael,JBH1660,4,12
Woods,Brandy,MAK5682,4,12
Baldwin,Paul,DUM5278,4,12
Richard,Katherine,ZZD4425,5,15
Williams,Audrey,VLZ2124,5,15
Bruce,Matthew,YFQ6056,5,15
Johnston,Peter,IWE0864,5,15
Villanueva,Sandra,IKE4907,5,15
Bates,Brandon,MSG0769,6,18
Thornton,Joshua,CPB1621,7,21
Johnson,Ronald,RZC5975,7,21
Sanchez,Jessica,ASR2276,7,21
Todd,Nancy,ELQ5197,7,21
Pratt,Seth,MRE7130,7,21
Smith,James,IJV9852,8,24
Allen,Stephanie,LVV4759,8,24
Johnston,Kelly,VVO2731,8,24
Woodward,Jackson,QQA2273,8,24
Bell,Henry,VWL3337,9,27
Lee,Ashley,TZC8242,9,27
