GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,PZB3333,G1,0,0
Salazar,Tom,CTC4800,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,IUK5063,G2,3,1
Owen,Sharon,DFA3160,G2,3,1
Kent,Amanda,RHC4258,G2,3,1
Ruiz,Robert,MKB5046,G2,3,1
Cook,John,QXH5159,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,YAW2105,G3,6,2
Herring,Bethany,YOE9580,G3,6,2
Rodriguez,Andrea,FAS6512,G3,6,2
Gordon,Benjamin,LBB8497,G3,6,2
Kennedy,Craig,GCT6347,G3,6,2
Howard,Stacey,NUH5598,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,SYG9659,G4,9,3
Mccoy,Megan,AKT0995,G4,9,3
Williams,Juan,PVP1870,G4,9,3
Odonnell,William,OGB9853,G4,9,3
Montgomery,John,HNB3618,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,JBH1660,G5,12,4
Woods,Brandy,MAK5682,G5,12,4
Baldwin,Paul,DUM5278,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,ZZD4425,G6,15,5
Williams,Audrey,VLZ2124,G6,15,5
Bruce,Matthew,YFQ6056,G6,15,5
Johnston,Peter,IWE0864,G6,15,5
Villanueva,Sandra,IKE4907,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,MSG0769,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,CPB1621,G8,21,7
Johnson,Ronald,RZC5975,G8,21,7
Sanchez,Jessica,ASR2276,G8,21,7
Todd,Nancy,ELQ5197,G8,21,7
Pratt,Seth,MRE7130,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,IJV9852,G9,24,8
Allen,Stephanie,LVV4759,G9,24,8
Johnston,Kelly,VVO2731,G9,24,8
Woodward,Jackson,QQA2273,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,VWL3337,G10,27,9
Lee,Ashley,TZC8242,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
