GROUPE 1 - Salaire: 0DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 0,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Castro,Alexander,EET0821,G1,0,0
Salazar,Tom,ZPK0143,G1,0,0
,,,,,
==================================================,,,,,
,,,,,
GROUPE 2 - Salaire: 3DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 1,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Nolan,Gabriella,LKF6742,G2,3,1
Owen,Sharon,DBP8620,G2,3,1
Kent,Amanda,OVU2492,G2,3,1
Ruiz,Robert,ERR6575,G2,3,1
Cook,John,CWQ9237,G2,3,1
,,,,,
==================================================,,,,,
,,,,,
GROUPE 3 - Salaire: 6DT,,,,,
Nombre de personnes: 6,,,,,
Nombre de jours: 2,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Cortez,Raymond,ZMD9177,G3,6,2
Herring,Bethany,VKE7587,G3,6,2
Rodriguez,Andrea,EUD5007,G3,6,2
Gordon,Benjamin,OLK8294,G3,6,2
Kennedy,Craig,EZX0537,G3,6,2
Howard,Stacey,DLK4443,G3,6,2
,,,,,
==================================================,,,,,
,,,,,
GROUPE 4 - Salaire: 9DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 3,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Fernandez,Peter,GWV8113,G4,9,3
Mccoy,Megan,IOW6149,G4,9,3
Williams,Juan,JEB3604,G4,9,3
Odonnell,William,XLA2910,G4,9,3
Montgomery,John,ASE5992,G4,9,3
,,,,,
==================================================,,,,,
,,,,,
GROUPE 5 - Salaire: 12DT,,,,,
Nombre de personnes: 3,,,,,
Nombre de jours: 4,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Collins,Michael,FRB3344,G5,12,4
Woods,Brandy,WVI6867,G5,12,4
Baldwin,Paul,YGA1372,G5,12,4
,,,,,
==================================================,,,,,
,,,,,
GROUPE 6 - Salaire: 15DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 5,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Richard,Katherine,GUD7722,G6,15,5
Williams,Audrey,CNI0324,G6,15,5
Bruce,Matthew,RIM4657,G6,15,5
Johnston,Peter,NVR9987,G6,15,5
Villanueva,Sandra,IGN8039,G6,15,5
,,,,,
==================================================,,,,,
,,,,,
GROUPE 7 - Salaire: 18DT,,,,,
Nombre de personnes: 1,,,,,
Nombre de jours: 6,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bates,Brandon,KYM2914,G7,18,6
,,,,,
==================================================,,,,,
,,,,,
GROUPE 8 - Salaire: 21DT,,,,,
Nombre de personnes: 5,,,,,
Nombre de jours: 7,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Thornton,Joshua,IPE4842,G8,21,7
Johnson,Ronald,NJH6034,G8,21,7
Sanchez,Jessica,RQS2925,G8,21,7
Todd,Nancy,SQF4535,G8,21,7
Pratt,Seth,SBS1231,G8,21,7
,,,,,
==================================================,,,,,
,,,,,
GROUPE 9 - Salaire: 24DT,,,,,
Nombre de personnes: 4,,,,,
Nombre de jours: 8,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Smith,James,WQJ6599,G9,24,8
Allen,Stephanie,FMX4666,G9,24,8
Johnston,Kelly,JAY1340,G9,24,8
Woodward,Jackson,PZW3711,G9,24,8
,,,,,
==================================================,,,,,
,,,,,
GROUPE 10 - Salaire: 27DT,,,,,
Nombre de personnes: 2,,,,,
Nombre de jours: 9,,,,,
,,,,,
Nom,Prénom,Immatriculation,ID Groupe,Salaire (DT),Jours travaillés
Bell,Henry,VVH7737,G10,27,9
Lee,Ashley,MVT0531,G10,27,9
,,,,,
==================================================,,,,,
,,,,,
