Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,LFC4890,0,0
Salazar,Tom,APC8857,0,0
Nolan,Gabriella,ORS0859,1,3
Owen,Sharon,XTP0938,1,3
Kent,Amanda,OWZ1263,1,3
Ruiz,Robert,LAZ5285,1,3
Cook,John,GPU5519,1,3
Cortez,Raymond,AFN6886,2,6
Herring,Bethany,BFE2333,2,6
Rodriguez,Andrea,VTV4790,2,6
Gordon,Benjamin,DVN5012,2,6
Kennedy,Craig,ZWR3625,2,6
Howard,Stacey,TWC6951,2,6
Fernandez,Peter,BXU4987,3,9
Mccoy,Megan,RCR2057,3,9
Williams,Juan,WNR9537,3,9
Odonnell,William,HDO2103,3,9
Montgomery,John,SRD3711,3,9
Collins,Michael,URY7650,4,12
Woods,Brandy,UFG2307,4,12
Baldwin,Paul,QXD3220,4,12
Richard,Katherine,RLO4115,5,15
Williams,Audrey,JGA6864,5,15
Bruce,Matthew,YJD5354,5,15
Johnston,Peter,LEW3255,5,15
Villanueva,Sandra,YRR1646,5,15
Bates,Brandon,RDJ7465,6,18
Thornton,Joshua,TJR2538,7,21
Johnson,Ronald,HJY4607,7,21
Sanchez,Jessica,HLS6848,7,21
Todd,Nancy,JMK7303,7,21
Pratt,Seth,TPK7804,7,21
Smith,James,WAG6303,8,24
Allen,Stephanie,OWS5698,8,24
Johnston,Kelly,YOB5415,8,24
Woodward,Jackson,NHO6875,8,24
Bell,Henry,ETT8545,9,27
Lee,Ashley,TXI4241,9,27
