Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,QBX2039,0,0
Salazar,Tom,IRL6068,0,0
Nolan,Gabriella,IRP8174,1,3
Owen,Sharon,XYS6788,1,3
Kent,Amanda,TYK8981,1,3
Ruiz,Robert,ANP4993,1,3
Cook,John,MZX6207,1,3
Cortez,Raymond,LRE7883,2,6
Herring,Bethany,KBB4013,2,6
Rodriguez,Andrea,TAV3391,2,6
Gordon,Benjamin,ACU1814,2,6
Kennedy,Craig,YVY4593,2,6
Howard,Stacey,WEL1417,2,6
Fernandez,Peter,ZHY4564,3,9
Mccoy,Megan,OWX6406,3,9
Williams,Juan,DMT0179,3,9
Odonnell,William,YYK4626,3,9
Montgomery,John,WWN0244,3,9
Collins,Michael,XXK4179,4,12
Woods,Brandy,BXM8828,4,12
Baldwin,Paul,WCI9080,4,12
Richard,Katherine,VPH3130,5,15
Williams,Audrey,NRA9743,5,15
Bruce,Matthew,GUB3390,5,15
Johnston,Peter,VAC7560,5,15
Villanueva,Sandra,DTY0650,5,15
Bates,Brandon,RUQ0602,6,18
Thornton,Joshua,AOD4993,7,21
Johnson,Ronald,TNZ3607,7,21
Sanchez,Jessica,YFV5685,7,21
Todd,Nancy,XII1647,7,21
Pratt,Seth,GSR2033,7,21
Smith,James,XLF6715,8,24
Allen,Stephanie,BKQ5120,8,24
Johnston,Kelly,SSF0911,8,24
Woodward,Jackson,BWW8782,8,24
Bell,Henry,GQF4680,9,27
Lee,Ashley,XPT0724,9,27
