Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,NER9015,0,0
Salazar,Tom,CDB9422,0,0
Nolan,Gabriella,KCM0487,1,3
Owen,Sharon,GJY7007,1,3
Kent,Amanda,ANU1017,1,3
Ruiz,Robert,HSQ0710,1,3
Cook,John,RBU8283,1,3
Cortez,Raymond,FUA5045,2,6
Herring,Bethany,RXF3956,2,6
Rodriguez,Andrea,KNP7520,2,6
Gordon,Benjamin,MUN5451,2,6
Kennedy,Craig,AKT7257,2,6
Howard,Stacey,SCH0140,2,6
Fernandez,Peter,CZK9755,3,9
Mccoy,Megan,GYE6524,3,9
Williams,Juan,ZWK9219,3,9
Odonnell,William,BVW9890,3,9
Montgomery,John,DGN9688,3,9
Collins,Michael,KDS5700,4,12
Woods,Brandy,FCM9288,4,12
Baldwin,Paul,ZKG3500,4,12
Richard,Katherine,NPD4624,5,15
Williams,Audrey,LMU9838,5,15
Bruce,Matthew,UXJ6523,5,15
Johnston,Peter,UCG0395,5,15
Villanueva,Sandra,LEN8591,5,15
Bates,Brandon,QTZ0780,6,18
Thornton,Joshua,XQI1663,7,21
Johnson,Ronald,WPL4509,7,21
Sanchez,Jessica,KXM2503,7,21
Todd,Nancy,YZA6388,7,21
Pratt,Seth,VJI3445,7,21
Smith,James,QTA7429,8,24
Allen,Stephanie,ZGC6276,8,24
Johnston,Kelly,PTU1251,8,24
Woodward,Jackson,SAG3884,8,24
Bell,Henry,LUX7085,9,27
Lee,Ashley,TUW0780,9,27
