Nom,Prénom,Immatriculation,Nombre de jours,Salaire
Castro,Alexander,DXK1829,0,0
Salazar,Tom,WUR3516,0,0
Nolan,Gabriella,HZI8190,1,3
Owen,Sharon,ZIF9360,1,3
Kent,Amanda,BRK2365,1,3
Ruiz,Robert,SXD5163,1,3
Cook,John,MKD9805,1,3
Cortez,Raymond,YHM2433,2,6
Herring,Bethany,EJV2679,2,6
Rodriguez,Andrea,PFS9971,2,6
Gordon,Benjamin,SUR5904,2,6
Kennedy,Craig,JZB9903,2,6
Howard,Stacey,WMD6493,2,6
Fernandez,Peter,JRR3057,3,9
Mccoy,Megan,FEI2419,3,9
Williams,Juan,LDY5215,3,9
Odonnell,William,VWP4608,3,9
Montgomery,John,OUP2157,3,9
Collins,Michael,ZTY2522,4,12
Woods,Brandy,THJ4835,4,12
Baldwin,Paul,PSL3828,4,12
Richard,Katherine,BYW6765,5,15
Williams,Audrey,UYR7813,5,15
Bruce,Matthew,RHB5102,5,15
Johnston,Peter,TEZ9744,5,15
Villanueva,Sandra,XNP2018,5,15
Bates,Brandon,WKL4364,6,18
Thornton,Joshua,NRM6422,7,21
Johnson,Ronald,FTE6642,7,21
Sanchez,Jessica,UIU1044,7,21
Todd,Nancy,TJV1747,7,21
Pratt,Seth,TFU0892,7,21
Smith,James,DGR7887,8,24
Allen,Stephanie,CCE3130,8,24
Johnston,Kelly,UKU8431,8,24
Woodward,Jackson,QYY8675,8,24
Bell,Henry,EVZ5781,9,27
Lee,Ashley,ILR4625,9,27
